proteins,NaN_prop_samples_with_targets,NaN_prop_all_samples,target,NaN_control,targeting_pert_ids
Q66GS9,0.10256410256410256,0.10638297872340426,False,False,
Q66K14,0.0,0.0,False,False,
Q66K74,0.0,0.0,False,False,
Q66K79,0.9102564102564102,0.8936170212765957,False,True,
Q66K89,0.5128205128205128,0.5425531914893617,False,True,
Q66LE6,0.02564102564102564,0.031914893617021274,False,False,
Q66PJ3,0.0,0.0,False,False,
Q674X7,0.48717948717948717,0.5,False,True,
Q676U5,0.01282051282051282,0.010638297872340425,False,False,
Q67FW5,0.6794871794871795,0.6595744680851063,False,True,
Q684P5,0.02564102564102564,0.02127659574468085,False,False,
Q687X5,1.0,1.0,False,True,
Q68CL5,0.5769230769230769,0.5851063829787234,False,False,
Q68CP9,0.0,0.0,False,False,
Q68CQ4,0.0,0.0,False,False,
Q68CQ7,0.0,0.0,False,False,
Q68CR1,0.02564102564102564,0.031914893617021274,False,False,
Q68CZ1,0.5256410256410257,0.5425531914893617,False,False,
Q68CZ2,0.2692307692307692,0.30851063829787234,False,True,
Q68CZ6,0.01282051282051282,0.010638297872340425,False,False,
Q68D10,0.02564102564102564,0.02127659574468085,False,False,
Q68D91,0.01282051282051282,0.010638297872340425,False,False,
Q68DK2,0.8717948717948718,0.8404255319148937,False,False,
Q68DQ2,0.08974358974358974,0.09574468085106383,False,False,
Q68E01,0.0,0.0,False,False,
Q68EM7,0.0,0.0,False,False,
Q69YH5,0.21794871794871795,0.23404255319148937,False,False,
Q69YL0,0.0,0.010638297872340425,False,False,
Q69YN2,0.0,0.0,False,False,
Q69YN4,0.0,0.0,False,False,
Q69YQ0,0.01282051282051282,0.010638297872340425,False,False,
Q69YU5,0.0,0.0,False,False,
Q6AHZ1,0.9615384615384616,0.9680851063829787,False,True,
Q6AI08,0.0,0.0,False,False,
Q6AZZ1,0.4230769230769231,0.4148936170212766,False,False,
Q6BCY4,0.0,0.0,False,False,
Q6BDS2,0.0,0.0,False,False,
Q6DD87,0.21794871794871795,0.22340425531914893,False,False,
Q6DD88,0.0,0.0,False,False,
Q6DHV5,0.5641025641025641,0.5319148936170213,False,False,
